,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
28,RT @Javiersierra007: Yo enseñándole Twitter a mi pana de Facebook https://t.co/diqJmX3tM5, yo ense  ndole twitter a mi pana de facebook  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,RT @kcclovelyz: qm usa facebook em pleno 2021?, qm usa facebook em pleno 2021 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
32,"RT @DrWhiger: That one damned extrovert friend 

https://t.co/F60Ahw2PWC https://t.co/R2koYmINMa", that one damned extrovert friend      ,0.0,0.0,positive,0.295,0.341,0.364,0.1531
33,"RT @Jeanfortruth: ""인류가 진화하면서 피부색이 희어졌나? 다른 나라에서 이런 포스터가 나왔으면 엄청난 비난을 듣고 대표가 사과했을 수준인데, 한국에서는 공영방송사에서 만든 인종차별적인 이미지가 버젓이 돌아다닌다.""

KBS 호모 미디어…",                                                                                                                kbs        ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
34,"RT @KLStudioClassic: Coming June 29th!

NINE MAE WEST CLASSICS – First Time on Blu-ray!

Visit https://t.co/8N2Xr2yRpm for additional detai…", coming june 29th   nine mae west classics   first time on blu ray   visit   for additional detai ,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
35,@PabloEchenique https://t.co/Ox15hZbMD4,   ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
36,"RT @bnk48official: ก่อนที่เราจะไปพบกับไลฟ์ Music Box ในวันพรุ่งนี้
มาอุ่นเครื่องกับ Music Box ครั้งที่แล้วกันค่ะ 😊

BNK48 MUSIC BOX : 1st เ…",                         music box                                music box                       bnk48 music box   1st   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
37,"RT @bts_bighit: [#호비생일ㅊㅋ]
태양보다 밝은 아미들의 희망 에너지
호석이의 1년 모아모아🐿

More photos @(https://t.co/3kiyVQ3RBd)

#jhope #정호석 #좌홉 #안무단장 #오안취 #홉무행알 #아무행알…",                                    1         more photos       jhope                                 ,0.5,0.5,neutral,0.0,1.0,0.0,0.0
38,"A mediação ficará por conta de Fabiola Valdambrini, do MML SP (Movimento Mulheres em Luta) e da CSP-Conlutas SP est… https://t.co/tpXJahZ1ex",a media  o ficar  por conta de fabiola valdambrini  do mml sp  movimento mulheres em luta  e da csp conlutas sp est   ,0.0,0.0,positive,0.0,0.857,0.143,0.4588
40,"I super appreciate any shares you can make of the stream on Facebook, especially into groups:

https://t.co/QR0YLJyofc",i super appreciate any shares you can make of the stream on facebook  especially into groups    ,0.16666666666666666,0.8333333333333333,positive,0.0,0.577,0.423,0.8316
41,@KeepStanfordWRE @Facebook @Pinterest ✊✊,        ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
42,RT @easternregdst: We LOVE this Facebook post from @stacey_plaskett: Thank you #VirginIslands and the Ladies of #DeltaSigmaTheta - St. Croi…, we love this facebook post from   plaskett  thank you  virginislands and the ladies of  deltasigmatheta   st  croi ,0.5,0.6,positive,0.0,0.691,0.309,0.7717
43,"@facebook should pay individuals for the data #facebook collects, uses, shares, and sells about that individual whi… https://t.co/56FgNwtNiQ",  should pay individuals for the data  facebook collects  uses  shares  and sells about that individual whi   ,0.0,0.4,positive,0.08,0.795,0.125,0.2023
44,"RT @swim_shu: 【お知らせ】以前の投稿より、日程に変更があったようです。
#ウイグルジェノサイド
https://t.co/w4j4Mr3bRj https://t.co/c2vFQbJedD",                                             ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
45,RT @OANN: Australians furious at Facebook’s news ban - https://t.co/IPBLeWYWQl #OANN https://t.co/GSts99yzxz, australians furious at facebook s news ban      oann  ,0.0,0.0,negative,0.593,0.407,0.0,-0.8074
47,"RT @nigella_i5e: About a year ago I put out a tweet saying that 1984 wasn’t coming from governments it was come from big tech, I was right.…", about a year ago i put out a tweet saying that 1984 wasn t coming from governments it was come from big tech  i was right  ,0.14285714285714285,0.31785714285714284,neutral,0.0,1.0,0.0,0.0
48,"RT @alasnich: Kevin Rudd, speaking on RN, has exposed the Government’s propaganda attack on Facebook on behalf of the Murdoch media. He poi…", kevin rudd  speaking on rn  has exposed the government s propaganda attack on facebook on behalf of the murdoch media  he poi ,-0.1,0.1,negative,0.262,0.738,0.0,-0.6597
49,"@Tonida11 先日から度々見かけるのですが、こちらが証拠を持って活動的になることで、犯罪者側が動きづらくなる傾向はあるようですね…集ストの被害を警察に訴えたり、被害者の会に参加されたことありますか？

(警察)… https://t.co/qdjQIGF0Vb",                                                                                                       ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
50,THIS IS AMAZING! 😳 https://t.co/s0WSKN2Wj5 via @FacebookWatch,this is amazing      via  ,0.6000000000000001,0.9,positive,0.0,0.441,0.559,0.5859
51,"RT @anthropiapucp: ⏰⏰ Recuerden que mañana estaremos junto a María Eugenia Ulfe y @LaSandunga7 para recordar, reflexionar y discutir en tor…",    recuerden que ma ana estaremos junto a mar a eugenia ulfe y   para recordar  reflexionar y discutir en tor ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
53,https://t.co/thbzRapDmR, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
55,RT @CarnetDLaPatria: Venezuela destinó 200 millones de dólares para la compra de la vacuna Sputnik-V. Más información aquí https://t.co/N9I…, venezuela destin  200 millones de d lares para la compra de la vacuna sputnik v  m s informaci n aqu   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
56,https://t.co/Qrkf7cTai1, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
57,"RT @NN_BB39: มาฮะ..วันใหม่แร้วววว โหวตกานนน

1. กดโหวตผ่านทางทวิตเตอร์👇🏻
https://t.co/Gn0Nb9gBcA

2. เข้าไปโหวตผ่านทางเฟชบุ๊ค 👇🏻
https://t.…",                                 1                              2                               ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
58,RT @WORLDMUSICAWARD: #BLACKPINK's #JISOO Becomes New Muse Of Korea's Most Elegant Fashion Line #ItMICHAA After The Brand Honours Her By Sen…,  blackpink s  jisoo becomes new muse of korea s most elegant fashion line  itmichaa after the brand honours her by sen ,0.37878787878787873,0.6515151515151515,positive,0.0,0.721,0.279,0.7645
59,"RT @KeepStanfordWRE: Tim Kendall ‘99: former Director of Monetization @Facebook, President of @Pinterest, current CEO of Moment!

@KeepStan…", tim kendall  99  former director of monetization    president of    current ceo of moment     ,0.0,0.2,neutral,0.0,1.0,0.0,0.0
60,"RT @rasmus_kleis: Some things we know-while 32% of Australians use Facebook but don't get news there, 39% till yesterday DID get news on FB…", some things we know while 32  of australians use facebook but don t get news there  39  till yesterday did get news on fb ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
61,"Facebook amenaza a Australia con bloquear información; Primer Ministro responde que ""no se dejará intimidad""… https://t.co/vihMuoUrbG",facebook amenaza a australia con bloquear informaci n  primer ministro responde que  no se dejar  intimidad    ,0.0,0.0,negative,0.145,0.855,0.0,-0.296
63,"RT @darrenAudio: This is such a great episode with ⁦@social_savannah⁩ we decided to re-air it. We’ve got #facebook ads, insta, snap and #ti…", this is such a great episode with    savannah  we decided to re air it  we ve got  facebook ads  insta  snap and  ti ,0.4,0.625,positive,0.0,0.837,0.163,0.6249
64,RT @infobae: “Borren Facebook”: la campaña que es tendencia mundial en rechazo a la decisión de la red social de bloquear la publicación de…,  borren facebook   la campa a que es tendencia mundial en rechazo a la decisi n de la red social de bloquear la publicaci n de ,0.016666666666666666,0.03333333333333333,neutral,0.0,1.0,0.0,0.0
65,"RT @borghi_claudio: 100mila visualizzazioni finora per l'intervento di oggi alla Camera

https://t.co/6sYf9T2SaS", 100mila visualizzazioni finora per l intervento di oggi alla camera   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
66,Fajr Club Day 7 https://t.co/kcXHBw8hdz عبر @FacebookWatch,fajr club day 7        ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
67,"RT @DocEMurray: This has now become a thread on how to combat misinformation. 
-yes, the Covid vaccine has been studied 
-no, doctors are n…", this has now become a thread on how to combat misinformation    yes  the covid vaccine has been studied   no  doctors are n ,0.0,0.0,negative,0.27,0.625,0.105,-0.4939
68,RT @RubenSanchezTW: Un policía municipal de Madrid invitando a dar palos. En su perfil de Facebook no falta la bandera con el águila. Segur…, un polic a municipal de madrid invitando a dar palos  en su perfil de facebook no falta la bandera con el  guila  segur ,0.0,0.0,negative,0.099,0.901,0.0,-0.296
69,"RT @_IKIKUNARI: https://t.co/sI5ydmnwyd

#JusticiaParaPaul el menor de 2 años asesinado en San Cristóbal de Las Casas, Chiapas.",     justiciaparapaul el menor de 2 a os asesinado en san crist bal de las casas  chiapas ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
70,RT @ForloveMew: ทุกคนนนนวันใหม่แล้วน้าอย่าลืมเข้าไปกดโหวตพี่มิวนะ เค้าตามจี้ตูดมาแล้ว เราต้องห่างจากเค้าอย่างน้อยสุดขอ5000เพื่อถ้วยที่2ของ…,                                                                                                       5000            2    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
71,"🍋Umiのいえメルマガ🍋2/18
　　　　　　　〜親が語り合おう〜
小さな子どもは冒険が好き。
講座開催情報もありますよ😊

#Umiのいえ
#妊娠　#出産 https://t.co/3WXsT7UBkd", umi        2 18                                                umi             ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
72,"Most millennials are still browsing through facebook.

They will catch up with the Gen Z trend on twitter tomorrow. https://t.co/IhUAnz0J7D",most millennials are still browsing through facebook   they will catch up with the gen z trend on twitter tomorrow   ,0.5,0.5,neutral,0.0,1.0,0.0,0.0
73,"Facebook, Google and Twitter CEOs agree to testify about misinformation | Engadget... (https://t.co/g40gHpvBqg)",facebook  google and twitter ceos agree to testify about misinformation   engadget      ,0.0,0.0,positive,0.167,0.652,0.181,0.0516
74,what is my facebook login omg,what is my facebook login omg,0.0,0.0,neutral,0.0,1.0,0.0,0.0
76,"RT @hmarston4: There have been reports of #Myanmar police siding with the protesters in past two weeks, but this is 1st I've seen a soldier…", there have been reports of  myanmar police siding with the protesters in past two weeks  but this is 1st i ve seen a soldier ,-0.25,0.25,negative,0.065,0.935,0.0,-0.1154
77,"@Thymocrat Es copiado de Facebook, no es ni cercanamente mi forma de pensar.",  es copiado de facebook  no es ni cercanamente mi forma de pensar ,0.0,0.0,negative,0.167,0.833,0.0,-0.296
78,"RT @JuddLegum: Just to be clear, Facebook has decided it is OK, at its sole discretion, to BAN EVERY PIECE OF NEWS CONTENT FROM AN ENTIRE C…", just to be clear  facebook has decided it is ok  at its sole discretion  to ban every piece of news content from an entire c ,0.15,0.4395833333333333,positive,0.122,0.714,0.163,0.0516
79,"RT @chelsea_hetho: The @abcnews app remains on the top of the charts, after yesterday’s Facebook ban. A timely reminder to go directly to t…", the   app remains on the top of the charts  after yesterday s facebook ban  a timely reminder to go directly to t ,0.3,0.45,negative,0.161,0.759,0.08,-0.4215
80,RT @theedgemalaysia: Tech: Facebook 'unfriends' Australia: uproar as news pages go dark - Reuters https://t.co/hRCD9NPXjU, tech  facebook  unfriends  australia  uproar as news pages go dark   reuters  ,-0.15,0.4,neutral,0.0,1.0,0.0,0.0
81,"RT @skz_usa: 🚨WHOSFAN ACCOUNT DONATION🚨

We only have ONE HOUR to vote on Feb. 23, so we'll need as many accounts on as many devices as pos…",  whosfan account donation   we only have one hour to vote on feb  23  so we ll need as many accounts on as many devices as pos ,0.3333333333333333,0.6666666666666666,neutral,0.0,1.0,0.0,0.0
82,"RT @GaturroOf: GENTE, la pagina de Facebook de Gaturro Shitpot tiene un server de Discord, asi que si les pinta unirse estaría piola
▶️http…", gente  la pagina de facebook de gaturro shitpot tiene un server de discord  asi que si les pinta unirse estar a piola   http ,0.0,0.0,negative,0.114,0.886,0.0,-0.4019
83,"Facebook's news ban in Australia gets messy with take down of government pages, non-profits https://t.co/ELLEKntpfM by @SiladityaRay",facebook s news ban in australia gets messy with take down of government pages  non profits   by  ,-0.1777777777777778,0.34444444444444444,negative,0.277,0.591,0.132,-0.4939
85,"RT @MichaelChongMP: Today is the CPC Opposition Day Motion. 

Conservatives are calling on the Liberal government to finally recognize the…", today is the cpc opposition day motion    conservatives are calling on the liberal government to finally recognize the ,0.0,1.0,neutral,0.0,1.0,0.0,0.0
86,"RT @TIOBRAVE: EN DIRECTO! Rankeando toda la tarde y noche n_n Vengan! 

https://t.co/8MShnaCTf4
https://t.co/8MShnaCTf4
https://t.co/8MShna…", en directo  rankeando toda la tarde y noche n n vengan         ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
87,https://t.co/MJsq8xrmkp, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
88,RT @JuddLegum: Facebook was presented with a decision between prioritizing FREE SPEECH or MAXIMIZING EVERY PENNY OF PROFIT and it made its…, facebook was presented with a decision between prioritizing free speech or maximizing every penny of profit and it made its ,0.4,0.8,positive,0.0,0.733,0.267,0.7351
89,Facebook and Tewtter are just SUMG and getting out of hand need to be Censored,facebook and tewtter are just sumg and getting out of hand need to be censored,0.0,0.0,positive,0.09,0.73,0.18,0.3818
90,"RT @kissdatbam: [💚] Let’s start trending!

Watch the live stream here
https://t.co/hww9rhnXsQ

#BamBamPlaysTheSims4 
#BamBamxTheSims4 
#Bam…",     let s start trending   watch the live stream here     bambamplaysthesims4   bambamxthesims4   bam ,0.13636363636363635,0.5,neutral,0.0,1.0,0.0,0.0
91,"@MegumiMatsuda3 @vgpfabd7rf31db1 Livestream 👇👇
https://t.co/b5KMNq3zKi",    livestream     ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
92,https://t.co/uptUtQeo3T, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
94,"RT @clairlemon: Facebook didn’t just shut down Australian news sites, it shut down government agency pages: Hospitals, Fire &amp; Rescue, Burea…", facebook didn t just shut down australian news sites  it shut down government agency pages  hospitals  fire  amp  rescue  burea ,-0.10370370370370373,0.19259259259259262,positive,0.106,0.749,0.145,0.2263
96,@toniswifey If you don't have Facebook the discord of the wilds is streaming it,  if you don t have facebook the discord of the wilds is streaming it,0.0,0.0,negative,0.184,0.816,0.0,-0.4019
98,"@Minamoto_W @Bielspeed Lol, nem sabia que passava no Facebook a TCR Australia... Ao menos aquela rede social ainda serve pra algo útil",  w   lol  nem sabia que passava no facebook a tcr australia    ao menos aquela rede social ainda serve pra algo  til,0.4166666666666667,0.3833333333333333,positive,0.1,0.773,0.127,0.1531
101,"RT @Matador000: Muchas gracias a mi talentoso amigo @CapetoFoto por las fotografías que acompañan la nueva imagen de mis redes sociales.
Y…", muchas gracias a mi talentoso amigo   por las fotograf as que acompa an la nueva imagen de mis redes sociales  y ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
103,https://t.co/UcUAFotxPM, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
105,NHL21 &amp; HUT https://t.co/LjtFgliBYL via @FacebookGaming  Come drop in and say hi and watch me continue my win stream on hut rivals :],nhl21  amp  hut   via    come drop in and say hi and watch me continue my win stream on hut rivals   ,0.8,0.4,positive,0.088,0.753,0.159,0.4019
108,"RT @MarinaNigrelli: Just an enthusiastic intern 

With an “amateur interest” in politics 

Who spent £65k in 2 months 

On Facebook ads sme…", just an enthusiastic intern   with an  amateur interest  in politics   who spent  65k in 2 months   on facebook ads sme ,0.08333333333333333,0.4166666666666667,positive,0.0,0.733,0.267,0.7351
109,"RT @jnkcharts: 🚨🚨🚨

IG
Watch stories starting from here:
🔗 https://t.co/lyzzY8gf5Y
Like and comment:
🔗 https://t.co/Maqpz2imYh

FB
🔗 https:…",      ig watch stories starting from here      like and comment       fb   https  ,0.0,0.1,positive,0.0,0.8,0.2,0.3612
110,"RT @EamonKeenan83: Tonight I proposed a Zero rates rise combined with zero loss to services,projects and workers hours and T+C’s seconded b…", tonight i proposed a zero rates rise combined with zero loss to services projects and workers hours and t c s seconded b ,0.0,0.0,negative,0.126,0.874,0.0,-0.3182
111,"Tommy Tune, Ken &amp; I celebrate The Boy Friend at Lincoln Center X  https://t.co/NZgnRPcybP",tommy tune  ken  amp  i celebrate the boy friend at lincoln center x   ,-0.1,0.1,positive,0.0,0.566,0.434,0.7845
112,"RT @mishima_marie: JRAのFacebook
いい写真😊🌟

#サクセスブロッケン https://t.co/GNRxaTG9ad", jra facebook                     ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
113,#ahora Diálogos Constituyentes @enmovimiento_pe con #OscarUgarteche  y #AlejandraAlayza ya iniciamos! https://t.co/QhE93hz6Fe, ahora di logos constituyentes   pe con  oscarugarteche  y  alejandraalayza ya iniciamos   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
114,RT @TriEE_Ags: Hoy el Pleno celebrará la 11a sesión pública de resolución. Sigue la transmisión en vivo en nuestra red social de Facebook h…, hoy el pleno celebrar  la 11a sesi n p blica de resoluci n  sigue la transmisi n en vivo en nuestra red social de facebook h ,0.016666666666666666,0.03333333333333333,neutral,0.0,1.0,0.0,0.0
115,RT @MsHannahMurphy: NEW: A Facebook manager warned internally that the company made revenues it “should have never made” by overstating how…, new  a facebook manager warned internally that the company made revenues it  should have never made  by overstating how ,0.06818181818181818,0.22727272727272727,negative,0.11,0.89,0.0,-0.2732
116,RT @ratty_1969: ใต้เตียงดารา ..สรุปได้ครบ ก็อตอิทธิพัทธ์ ไม่ควรมีคนเดียวจริงๆhttps://t.co/wusGHBAFSj,                                                               ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
117,https://t.co/UzIHyqvCL5, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
118,RT @infobaeamerica: “Borren Facebook”: la campaña que es tendencia mundial en rechazo a la decisión de la red social de bloquear la publica…,  borren facebook   la campa a que es tendencia mundial en rechazo a la decisi n de la red social de bloquear la publica ,0.016666666666666666,0.03333333333333333,neutral,0.0,1.0,0.0,0.0
121,"RT @histopian: 누가 ‘계백장군의 정신’을 계승한다고 하면, 당연히 그의 ‘멸사봉공’ 정신을 생각합니다.
‘처자식 죽이는 정신’이라고 생각하는 사람이 있다면, 그가 정신 나간 사람입니다.
누가 ‘세종대왕의 정신’을 계승한다고 하면, 당연히…",                                                                                                                              ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
122,"ABW Live 360 : Benfica 1-1 Arsenal (Europa League) *An Arsenal Podcast

#YouTube https://t.co/1doeYjUin4

#Twitch… https://t.co/pwVxQLM9bD",abw live 360   benfica 1 1 arsenal  europa league   an arsenal podcast   youtube     twitch   ,0.13636363636363635,0.5,neutral,0.0,1.0,0.0,0.0
123,"If you want to find the real culprit behind this Facebook saga, look no further than this guy right here 👇👇https://t.co/5JkhMhb8wv",if you want to find the real culprit behind this facebook saga  look no further than this guy right here    ,0.021428571428571422,0.5089285714285714,negative,0.102,0.837,0.06,-0.2263
125,#Global Tanto los medios como servicios esenciales de información sobre la salud y de emergencia fueron restringido… https://t.co/kIMdgGbT1V, global tanto los medios como servicios esenciales de informaci n sobre la salud y de emergencia fueron restringido   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
127,Facebook under fire over move to 'bully democracy' in Australia https://t.co/n3rqa87gxi,facebook under fire over move to  bully democracy  in australia  ,0.0,0.0,negative,0.412,0.588,0.0,-0.6808
128,Hey Ziggys and Friends/Family! Check out 2News tonight at 5 and right now on their Facebook Live Feed! Your favorit… https://t.co/i0tFlQ6SSc,hey ziggys and friends family  check out 2news tonight at 5 and right now on their facebook live feed  your favorit   ,0.21103896103896103,0.5178571428571428,positive,0.0,0.86,0.14,0.4767
130,RT @simonahac: when @Facebook blocked australian news today it blocked @HarveyNormanAU and who’d shed a tear if that was permanent? https:/…, when   blocked australian news today it blocked   and who d shed a tear if that was permanent  https   ,0.0,0.0,negative,0.231,0.769,0.0,-0.4939
132,"Me, when Lent is over. https://t.co/o2a4r8XV2e",me  when lent is over   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
135,Now #LIVE ➡️ https://t.co/LpoVGpJX1W https://t.co/Rdtm0cOLjP,now  live       ,0.13636363636363635,0.5,neutral,0.0,1.0,0.0,0.0
136,Lol 😂 Wife has already said #Facebook more boring already so looking like an own goal for #Zuckerberg and ⁦… https://t.co/ZhFGTvRPdB,lol   wife has already said  facebook more boring already so looking like an own goal for  zuckerberg and     ,0.225,0.8,positive,0.112,0.647,0.241,0.4562
137,"Gráficas COVID-19. De especial interés las que relacionan las vacunas entregadas con la población, con la población… https://t.co/52vHcfaYZE",gr ficas covid 19  de especial inter s las que relacionan las vacunas entregadas con la poblaci n  con la poblaci n   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
139,"RT @familiadestro: @ArthurLira_ VAMOS ESPERAR?
A China está comendo o Brasil pelas beiradas, subornando a esquerda, como fez na Argentina c…",    vamos esperar  a china est  comendo o brasil pelas beiradas  subornando a esquerda  como fez na argentina c ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
140,"RT @jmil400: Does anyone seriously believe that the #MorrisonGovernment is acting against #Facebook to protect ‘journalism’? 
They acted at…", does anyone seriously believe that the  morrisongovernment is acting against  facebook to protect  journalism    they acted at ,-0.16666666666666666,0.3333333333333333,positive,0.088,0.777,0.135,0.2263
141,"#IUICNEWORLEANS PRESENTS: #PRECEPTUPONPRECEPT!
Tune in to tonight’s show:
”Freedom or Death!
The 1811 Slave Revolt”… https://t.co/vqwJrHnGVM", iuicneworleans presents   preceptuponprecept  tune in to tonight s show   freedom or death  the 1811 slave revolt    ,0.0,0.0,positive,0.185,0.616,0.199,0.0772
